[20186.381703] Syscall intercepted pid=15725
[20186.381868] Modified 560 entries
[20186.381869] Syscall: pid=15725
[20186.437403] 0x7ffff7b6d000
[20186.437405] 0x7ffff7b6a000
[20186.437406] 0x7ffff7b62000
[20186.437407] 0x7ffff7b6a000
[20186.437408] 0x7ffff7b64000
[20186.437409] 0x7ffff7b4f000
[20186.437410] 0x7ffff7b55000
[20186.437411] 0x7ffff7b64000
[20186.437412] 0x7ffff7b4e000
[20186.437413] 0x7ffff7b58000
[20186.437414] 0x7ffff7b64000
[20186.437415] 0x7ffff7b6a000
[20186.437416] 0x7ffff7b62000
[20186.437421] 0x7ffff7b62000
[20186.437422] 0x7ffff7b6a000
[20186.437423] 0x7ffff7b66000
[20186.437424] 0x7ffff7b4e000
[20186.437425] 0x7ffff7b56000
[20186.437425] 0x7ffff7b66000
[20186.437427] 0x7ffff7b91000
[20186.437428] 0x7ffff7b4f000
[20186.437428] 0x7ffff7b55000
[20186.437429] 0x7ffff7b91000
[20186.437430] 0x7ffff7b4e000
[20186.437431] 0x7ffff7dee000
[20186.437432] 0x7ffff7de6000
[20186.437433] 0x7ffff7de6000
[20186.437436] 0x7ffff7de6000
[20186.437437] 0x7ffff7de6000
[20186.437438] 0x7ffff7de6000
[20186.437441] 0x7ffff7de6000
[20186.437442] 0x7ffff7de6000
[20186.437443] 0x7ffff7de1000
[20186.437444] 0x7ffff7de1000
[20186.437446] 0x7ffff7de0000
[20186.437448] 0x7ffff7de0000
[20186.437450] 0x7ffff7de0000
[20186.437451] 0x7ffff7de0000
[20186.437452] 0x7ffff7de1000
[20186.437453] 0x7ffff7de1000
[20186.437455] 0x7ffff7de0000
[20186.437456] 0x7ffff7de0000
[20186.437458] 0x7ffff7de0000
[20186.437460] 0x7ffff7de0000
[20186.437461] 0x7ffff7de1000
[20186.437462] 0x7ffff7de1000
[20186.437463] 0x7ffff7de0000
[20186.437464] 0x7ffff7de1000
[20186.437465] 0x7ffff7de0000
[20186.437466] 0x7ffff7de1000
[20186.437467] 0x7ffff7de1000
[20186.437469] 0x7ffff7de6000
[20186.437470] 0x7ffff7de6000
[20186.437471] 0x7ffff7dee000
[20186.437472] 0x7ffff7b56000
[20186.437473] 0x7ffff7b91000
[20186.437474] 0x7ffff7b4e000
[20186.437475] 0x7ffff7b56000
[20186.437475] 0x7ffff7b91000
[20186.437476] 0x7ffff7b66000
[20186.437477] 0x7ffff7b4f000
[20186.437478] 0x7ffff7b55000
[20186.437479] 0x7ffff7b66000
[20186.437479] 0x7ffff7b6a000
[20186.437480] 0x7ffff7b62000
[20186.437481] 0x7ffff7b6a000
[20186.437482] 0x7ffff7b64000
[20186.437483] 0x7ffff7b4e000
[20186.437484] 0x7ffff7dee000
[20186.437485] 0x7ffff7de6000
[20186.437486] 0x7ffff7de6000
[20186.437489] 0x7ffff7de6000
[20186.437490] 0x7ffff7de6000
[20186.437491] 0x7ffff7de6000
[20186.437494] 0x7ffff7de6000
[20186.437495] 0x7ffff7de6000
[20186.437496] 0x7ffff7de1000
[20186.437497] 0x7ffff7de1000
[20186.437499] 0x7ffff7de0000
[20186.437500] 0x7ffff7de0000
[20186.437502] 0x7ffff7de0000
[20186.437504] 0x7ffff7de0000
[20186.437505] 0x7ffff7de1000
[20186.437506] 0x7ffff7de1000
[20186.437508] 0x7ffff7de0000
[20186.437509] 0x7ffff7de0000
[20186.437511] 0x7ffff7de0000
[20186.437512] 0x7ffff7de0000
[20186.437513] 0x7ffff7de1000
[20186.437515] 0x7ffff7de1000
[20186.437516] 0x7ffff7de0000
[20186.437517] 0x7ffff7de1000
[20186.437518] 0x7ffff7de0000
[20186.437519] 0x7ffff7de1000
[20186.437520] 0x7ffff7de1000
[20186.437521] 0x7ffff7de6000
[20186.437523] 0x7ffff7de6000
[20186.437524] 0x7ffff7dee000
[20186.437524] 0x7ffff7b58000
[20186.437526] 0x7ffff7b4e000
[20186.437526] 0x7ffff7b58000
[20186.437527] 0x7ffff7b4e000
[20186.437528] 0x7ffff7b4f000
[20186.437529] 0x7ffff7b57000
[20186.437530] 0x7ffff7b4e000
[20186.437531] 0x7ffff7b57000
[20186.437532] 0x7ffff7b52000
[20186.437533] 0x7ffff7b4e000
[20186.437534] 0x7ffff74f2000
[20186.437536] 0x7ffff74ef000
[20186.437537] 0x7ffff74f0000
[20186.437538] 0x7ffff74ef000
[20186.437539] 0x7ffff74f2000
[20186.437539] 0x7ffff7b57000
[20186.437540] 0x7ffff7b4e000
[20186.437541] 0x7ffff75e0000
[20186.437542] 0x7ffff7b57000
[20186.437543] 0x7ffff7b58000
[20186.437544] 0x7ffff7b4e000
[20186.437545] 0x7ffff75e0000
[20186.437545] 0x7ffff7b58000
[20186.437546] 0x7ffff7b64000
[20186.437547] 0x7ffff7b4e000
[20186.437548] 0x7ffff7b58000
[20186.437549] 0x7ffff7b4e000
[20186.437549] 0x7ffff7b58000
[20186.437550] 0x7ffff7b4f000
[20186.437551] 0x7ffff7b57000
[20186.437552] 0x7ffff7b4e000
[20186.437553] 0x7ffff7b57000
[20186.437553] 0x7ffff7b52000
[20186.437554] 0x7ffff7b4e000
[20186.437555] 0x7ffff74f2000
[20186.437556] 0x7ffff74ef000
[20186.437557] 0x7ffff74f0000
[20186.437558] 0x7ffff74ef000
[20186.437558] 0x7ffff74f2000
[20186.437559] 0x7ffff7b57000
[20186.437560] 0x7ffff7b4e000
[20186.437561] 0x7ffff75e0000
[20186.437562] 0x7ffff7b57000
[20186.437563] 0x7ffff7b58000
[20186.437563] 0x7ffff7b4e000
[20186.437564] 0x7ffff75e0000
[20186.437565] 0x7ffff7b58000
[20186.437566] 0x7ffff7b4e000
[20186.437567] 0x7ffff7b58000
[20186.437567] 0x7ffff7b4e000
[20186.437568] 0x7ffff7b4f000
[20186.437569] 0x7ffff7b57000
[20186.437570] 0x7ffff7b4e000
[20186.437571] 0x7ffff7b57000
[20186.437571] 0x7ffff7b52000
[20186.437572] 0x7ffff7b4e000
[20186.437573] 0x7ffff74f2000
[20186.437574] 0x7ffff74ef000
[20186.437575] 0x7ffff74f0000
[20186.437575] 0x7ffff74ef000
[20186.437576] 0x7ffff74f2000
[20186.437577] 0x7ffff7b57000
[20186.437578] 0x7ffff7b4e000
[20186.437579] 0x7ffff75e0000
[20186.437580] 0x7ffff7b57000
[20186.437580] 0x7ffff7b58000
[20186.437581] 0x7ffff7b4e000
[20186.437582] 0x7ffff75e0000
[20186.437583] 0x7ffff7b58000
[20186.437584] 0x7ffff7b4e000
[20186.437585] 0x7ffff7b58000
[20186.437585] 0x7ffff7b4e000
[20186.437586] 0x7ffff7b4f000
[20186.437587] 0x7ffff7b57000
[20186.437588] 0x7ffff7b4e000
[20186.437589] 0x7ffff7b57000
[20186.437589] 0x7ffff7b52000
[20186.437590] 0x7ffff7b4e000
[20186.437591] 0x7ffff74f2000
[20186.437592] 0x7ffff74ef000
[20186.437593] 0x7ffff74f0000
[20186.437593] 0x7ffff74ef000
[20186.437594] 0x7ffff74f0000
[20186.437595] 0x7ffff74f2000
[20186.437596] 0x7ffff7b57000
[20186.437597] 0x7ffff7b4e000
[20186.437598] 0x7ffff75e0000
[20186.437598] 0x7ffff7b57000
[20186.437599] 0x7ffff7b58000
[20186.437600] 0x7ffff7b4e000
[20186.437601] 0x7ffff75e0000
[20186.437602] 0x7ffff7b58000
[20186.437603] 0x7ffff7b4e000
[20186.437603] 0x7ffff75bb000
[20186.437604] 0x7ffff7b58000
[20186.437605] 0x7ffff7b64000
[20186.437606] 0x7ffff7b63000
[20186.437607] 0x7ffff7b64000
[20186.437607] 0x7ffff7b4e000
[20186.437608] 0x7ffff75bb000
[20186.437609] 0x7ffff75bc000
[20186.437610] 0x7ffff7b64000
[20186.437611] 0x7ffff7b6a000
[20186.437612] 0x7ffff7b64000
[20186.437613] 0x7ffff7b4e000
[20186.437614] 0x7ffff7b58000
[20186.437615] 0x7ffff7b6a000
[20186.437616] 0x7ffff7b6b000
